Prozent	; IHK ; BG
100 ;	1	; 15
99 ;	1.1	; 15
98 ;	1.1	; 15
97 ;	1.2	; 15
96 ;	1.2	; 15
95 ;	1.3	; 15
94 ;	1.3	; 14
93 ;	1.4	; 14
92 ;	1.4	; 14
91 ;	1.5	; 14
90 ;	1.6	; 14
89 ;	1.7	; 13
88 ;	1.8	; 13
87 ;	1.9	; 13
86 ;	2	; 13
85 ;	2	; 13
84 ;	2.1	; 12
83 ;	2.2	; 12
82 ;	2.3	; 12
81 ;	2.4	; 12
80 ;	2.5	; 12
79 ;	2.6	; 11
78 ;	2.7	; 11
77 ;	2.7	; 11
76 ;	2.8	; 11
75 ;	2.9	; 11
74 ;	2.9	; 10
73 ;	3	; 10
72 ;	3.1	; 10
71 ;	3.1	; 10
70 ;	3.2	; 10
69 ;	3.3 ;	9
68 ;	3.3 ;	9
67 ;	3.4 ;	9
66 ;	3.5 ;	9
65 ;	3.6 ;	9
64 ;	3.6 ;	8
63 ;	3.7 ;	8
62 ;	3.7 ;	8
61 ;	3.8 ;	8
60 ;	3.9 ;	8
59 ;	3.9 ;	7
58 ;	4 ;	7
57 ;	4 ;	7
56 ;	4.1 ;	7
55 ;	4.1 ;	7
54 ;	4.2 ;	6
53 ;	4.3 ;	6
52 ;	4.3 ;	6
51 ;	4.4 ;	6
50 ;	4.4 ;	6
49 ;	4.5 ;	5
48 ;	4.6 ;	5
47 ;	4.6 ;	5
46 ;	4.7 ;	5
45 ;	4.7 ;	5
44 ;	4.8 ;	4
43 ;	4.8 ;	4
42 ;	4.9 ;	4
41 ;	4.9 ;	4
40 ;	5 ;	4
39 ;	5 ;	3
38 ;	5 ;	3
37 ;	5.1 ;	3
36 ;	5.1 ;	3
35 ;	5.2 ;	3
34 ;	5.2 ;	3
33 ;	5.3 ;	3
32 ;	5.3 ;	2
31 ;	5.4 ;	2
30 ;	5.4 ;	2
29 ;	5.5 ;	2
28 ;	5.6 ;	2
27 ;	5.6 ;	2
26 ;	5.6 ;	1
25 ;	5.6 ;	1
24 ;	5.6 ;	1
23 ;	5.6 ;	1
22 ;	5.7 ;	1
21 ;	5.7 ;	1
20 ;	5.7 ;	1
19 ;	5.7 ;	0
18 ;	5.7 ;	0
17 ;	5.7 ;	0
16 ;	5.8 ;	0
15 ;	5.8 ;	0
14 ;	5.8 ;	0
13 ;	5.8 ;	0
12 ;	5.8 ;	0
11 ;	5.9 ;	0
10 ;	5.9 ;	0
9 ;	5.9 ;	0
8 ;	5.9 ;	0
7 ;	5.9 ;	0
6 ;	5.9 ;	0
5 ;	6 ;	0
4 ;	6 ;	0
3 ;	6 ;	0
2 ;	6 ;	0
1 ;	6 ;	0
0 ;	6 ;	0
